participant_id,device,split,action,samples,touch_rows,imu_frames,relative_path,bytes
P16,s21,fewshot,tap,5,23,175,P16/s21/fewshot/tap.npz,9677
P16,s21,test,keystroke,15,215,3840,P16/s21/test/keystroke.npz,92387
P16,s21,test,pinch,5,814,580,P16/s21/test/pinch.npz,24051
P16,s21,test,scroll,22,856,3938,P16/s21/test/scroll.npz,102135
P16,s21,test,swipe,1,22,167,P16/s21/test/swipe.npz,9431
P16,s21,test,tap,38,200,1330,P16/s21/test/tap.npz,37758
P17,pixel10,fewshot,keystroke,5,87,1280,P17/pixel10/fewshot/keystroke.npz,34195
P17,pixel10,fewshot,pinch,5,1112,580,P17/pixel10/fewshot/pinch.npz,30166
P17,pixel10,fewshot,scroll,5,140,895,P17/pixel10/fewshot/scroll.npz,27573
P17,pixel10,fewshot,swipe,5,152,835,P17/pixel10/fewshot/swipe.npz,26349
P17,pixel10,fewshot,tap,5,190,175,P17/pixel10/fewshot/tap.npz,10835
P17,pixel10,test,keystroke,15,283,3840,P17/pixel10/test/keystroke.npz,92907
P17,pixel10,test,pinch,3,1123,348,P17/pixel10/test/pinch.npz,23739
P17,pixel10,test,scroll,27,1612,4833,P17/pixel10/test/scroll.npz,133145
P17,pixel10,test,swipe,3,453,501,P17/pixel10/test/swipe.npz,22756
P17,pixel10,test,tap,37,504,1295,P17/pixel10/test/tap.npz,38773
P17,s21,fewshot,keystroke,5,82,1280,P17/s21/fewshot/keystroke.npz,34096
P17,s21,fewshot,pinch,5,698,580,P17/s21/fewshot/pinch.npz,23774
P17,s21,fewshot,scroll,5,126,895,P17/s21/fewshot/scroll.npz,27171
P17,s21,fewshot,swipe,5,165,835,P17/s21/fewshot/swipe.npz,26200
P17,s21,fewshot,tap,5,26,175,P17/s21/fewshot/tap.npz,9736
P17,s21,test,keystroke,15,227,3840,P17/s21/test/keystroke.npz,92792
P17,s21,test,pinch,4,513,464,P17/s21/test/pinch.npz,19425
P17,s21,test,scroll,28,958,5012,P17/s21/test/scroll.npz,127950
P17,s21,test,swipe,2,89,334,P17/s21/test/swipe.npz,14070
P17,s21,test,tap,38,205,1330,P17/s21/test/tap.npz,37949
P18,pixel10,fewshot,keystroke,5,75,1280,P18/pixel10/fewshot/keystroke.npz,34259
P18,pixel10,fewshot,pinch,5,490,580,P18/pixel10/fewshot/pinch.npz,23230
P18,pixel10,fewshot,scroll,5,288,895,P18/pixel10/fewshot/scroll.npz,29266
P18,pixel10,fewshot,swipe,5,164,835,P18/pixel10/fewshot/swipe.npz,26436
P18,pixel10,fewshot,tap,5,100,175,P18/pixel10/fewshot/tap.npz,10146
P18,pixel10,test,keystroke,15,199,3840,P18/pixel10/test/keystroke.npz,92725
P18,pixel10,test,pinch,3,832,348,P18/pixel10/test/pinch.npz,21335
P18,pixel10,test,scroll,22,1534,3938,P18/pixel10/test/scroll.npz,111553
P18,pixel10,test,swipe,1,31,167,P18/pixel10/test/swipe.npz,9610
P18,pixel10,test,tap,38,784,1330,P18/pixel10/test/tap.npz,41061
P18,s21,fewshot,keystroke,5,70,1280,P18/s21/fewshot/keystroke.npz,34126
P18,s21,fewshot,pinch,5,575,580,P18/s21/fewshot/pinch.npz,23000
P18,s21,fewshot,scroll,5,213,895,P18/s21/fewshot/scroll.npz,27860
P18,s21,fewshot,swipe,5,187,835,P18/s21/fewshot/swipe.npz,26218
P18,s21,fewshot,tap,5,109,175,P18/s21/fewshot/tap.npz,10451
P18,s21,test,keystroke,15,197,3840,P18/s21/test/keystroke.npz,92820
P18,s21,test,pinch,2,1169,232,P18/s21/test/pinch.npz,17616
P18,s21,test,scroll,28,1660,5012,P18/s21/test/scroll.npz,133440
P18,s21,test,swipe,1,29,167,P18/s21/test/swipe.npz,9548
P18,s21,test,tap,39,325,1365,P18/s21/test/tap.npz,39815
P19,pixel10,fewshot,keystroke,5,70,1280,P19/pixel10/fewshot/keystroke.npz,34140
P19,pixel10,fewshot,pinch,5,1237,580,P19/pixel10/fewshot/pinch.npz,31070
P19,pixel10,fewshot,scroll,5,214,895,P19/pixel10/fewshot/scroll.npz,28491
P19,pixel10,fewshot,swipe,5,190,835,P19/pixel10/fewshot/swipe.npz,26728
P19,pixel10,fewshot,tap,5,108,175,P19/pixel10/fewshot/tap.npz,10322
P19,pixel10,test,keystroke,15,185,3840,P19/pixel10/test/keystroke.npz,92607
P19,pixel10,test,pinch,2,1020,232,P19/pixel10/test/pinch.npz,20059
P19,pixel10,test,scroll,18,1002,3222,P19/pixel10/test/scroll.npz,90006
P19,pixel10,test,swipe,2,126,334,P19/pixel10/test/swipe.npz,14580
P19,pixel10,test,tap,35,768,1225,P19/pixel10/test/tap.npz,38697
P19,s21,fewshot,keystroke,5,62,1280,P19/s21/fewshot/keystroke.npz,34083
P19,s21,fewshot,pinch,5,692,580,P19/s21/fewshot/pinch.npz,24001
P19,s21,fewshot,scroll,5,137,895,P19/s21/fewshot/scroll.npz,27307
P19,s21,fewshot,swipe,5,166,835,P19/s21/fewshot/swipe.npz,26183
P19,s21,fewshot,tap,5,64,175,P19/s21/fewshot/tap.npz,10096
P19,s21,test,keystroke,15,205,3840,P19/s21/test/keystroke.npz,92829
P19,s21,test,pinch,2,506,232,P19/s21/test/pinch.npz,13960
P19,s21,test,scroll,27,1171,4833,P19/s21/test/scroll.npz,125998
P19,s21,test,swipe,1,25,167,P19/s21/test/swipe.npz,9486
P19,s21,test,tap,40,252,1400,P19/s21/test/tap.npz,40014
